TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,CHAMPION
Denver Nuggets,5,1,4,0.2,48,97.4,32.6,77,42.3,6.8,18.4,37,25.4,36,70.6,7.4,30.6,38,17.6,12.2,6.6,3.6,8.6,23.8,25,-4.8,2011,0
Philadelphia 76ers,5,1,4,0.2,48,86.6,33.8,81.6,41.4,6.4,16.4,39,12.6,17.4,72.4,10.6,30,40.6,20.4,10.6,6.4,3.6,6.2,20.4,14.8,-7.4,2011,0
New York Knicks,4,0,4,0,48,90.8,32,83,38.6,8.3,23.8,34.7,18.5,24.8,74.7,14.5,26,40.5,16.8,15.3,6.5,6.8,5,18.8,21,-8.5,2011,0
Orlando Magic,14,10,4,0.714,48.4,96.6,32.8,70.8,46.3,9.9,26.9,36.6,21.1,30.1,70.1,9.3,31.1,40.4,16.9,13.7,6.4,5.5,3.8,22.4,26.1,8.6,2010,0
Los Angeles Lakers,23,16,7,0.696,48,101.1,37.3,81.2,46,6.8,20.7,33,19.6,26,75.4,12.8,30.1,42.9,19.7,12.5,6.7,6.2,4.8,23.2,23.3,3.8,2010,1
Phoenix Suns,16,10,6,0.625,48,107.1,38,79.6,47.7,9.4,24.4,38.4,21.8,28.1,77.3,10.7,29.4,40.1,20.8,12.6,5.9,4.1,5.2,22.4,23.3,4.6,2010,0
Boston Celtics,24,15,9,0.625,48.2,93.9,34.3,75.7,45.3,5.8,16,36.3,19.5,25.8,75.5,8.8,30.3,39.1,21.1,13.9,8,4.6,5.4,24.6,22.7,2.8,2010,0
Cleveland Cavaliers,11,6,5,0.545,48,100.2,34.9,74.5,46.9,7.2,20.6,34.8,23.2,31.3,74.1,8.6,31.1,39.7,21.1,14.9,6.1,6.6,4.2,21.9,24.5,1.3,2010,0
Milwaukee Bucks,7,3,4,0.429,48,90,33.7,79.6,42.4,6.6,21.3,30.9,16,19.9,80.6,11.1,28,39.1,16.3,12.4,6.3,3.3,6.9,21,19.1,-3.7,2010,0
Utah Jazz,10,4,6,0.4,48,107.1,38.1,79.5,47.9,6.5,17.4,37.4,24.4,33.5,72.8,10.9,28.7,39.6,23.8,13.2,5.9,4.4,5.8,27,27.2,-2.2,2010,0
San Antonio Spurs,10,4,6,0.4,48,96.1,36.4,78.5,46.4,4.8,14.2,33.8,18.5,26.6,69.5,10.1,31,41.1,19.2,12.7,6.8,4.3,4.5,21,22.6,-3.4,2010,0
Atlanta Hawks,11,4,7,0.364,48,89.5,33.8,79.6,42.5,4.5,13.6,33.3,17.3,22,78.5,13,26.9,39.9,16.4,11.7,6.4,5.1,4,21.2,20.6,-6.8,2010,0
Denver Nuggets,6,2,4,0.333,48,109.3,37.3,78.5,47.6,6.5,18.2,35.8,28.2,36.8,76.5,10.3,29.3,39.7,19.2,13.7,8.2,4.7,4.3,30.8,27.8,-1.2,2010,0
Oklahoma City Thunder,6,2,4,0.333,48,93.8,30.7,78.5,39.1,5.5,18.5,29.7,27,32.3,83.5,11.7,31.7,43.3,16.2,12.5,6.5,6.2,6.2,22.8,24.8,-1.7,2010,0
Dallas Mavericks,6,2,4,0.333,48,92.8,34,79.3,42.9,6.3,19.3,32.8,18.5,23.3,79.3,12,31.8,43.8,18.5,13,7.5,5,3.2,22.5,19.8,-0.5,2010,0
Portland Trail Blazers,6,2,4,0.333,48,93,33,76.8,43,6.3,16.7,38,20.7,28,73.8,10.8,26.5,37.3,19.5,11,6,4.3,4.2,23.2,24.2,-10.3,2010,0
Chicago Bulls,5,1,4,0.2,48,97,37.8,86.2,43.9,3.2,10.8,29.6,18.2,22.8,79.8,10.8,30.2,41,19,10,5.8,3,8.2,21.4,21,-9.2,2010,0
Miami Heat,5,1,4,0.2,48,87.6,33.6,77.2,43.5,6.8,18.2,37.4,13.6,18.6,73.1,9.4,28.2,37.6,17.6,17.8,7,5,4.4,22.8,18.8,-8.2,2010,0
Charlotte Bobcats,4,0,4,0,48,85.5,31.3,70.5,44.3,4.8,17,27.9,18.3,25.5,71.6,8.5,28,36.5,20.3,15.5,5.5,4.5,6.5,26.8,23.5,-9.3,2010,0
Cleveland Cavaliers,14,10,4,0.714,48.4,97.6,34.8,75.1,46.3,6.6,19.8,33.6,21.4,28.8,74.2,10.1,30.2,40.3,19.1,12.4,6.6,4.6,3.3,20.6,22.6,8.5,2009,0
Los Angeles Lakers,23,16,7,0.696,48.4,102.4,37.4,80.5,46.5,7,18.4,37.7,20.6,27.5,74.7,11.1,30.9,42,19.4,13,7.9,6.3,4.3,23.5,23.1,7.2,2009,1
Denver Nuggets,16,10,6,0.625,48,107.9,37.3,78.4,47.5,8.1,21.1,38.3,25.4,33.4,75.9,10.7,29.6,40.3,22.6,12.1,9.2,5.2,4.4,25.8,25.5,8.6,2009,0
Orlando Magic,24,13,11,0.542,48.6,97,34.5,75.4,45.7,8.4,23.3,36,19.6,27.1,72.2,8.3,30,38.4,18.9,13.2,6.8,4.8,3.8,21.4,24.3,1.8,2009,0
Houston Rockets,13,7,6,0.538,48,91.5,34,76.1,44.7,6.6,20.2,32.8,16.8,21.9,76.8,9.7,30.8,40.5,17,14.2,6.2,3.2,7.1,20.1,21.4,-1.5,2009,0
Dallas Mavericks,10,5,5,0.5,48,101.6,35.6,75.7,47,7.3,20.6,35.4,23.1,28.4,81.3,9.2,31.5,40.7,18.1,13,6.5,3.8,4.1,22.8,23.7,-0.9,2009,0
Boston Celtics,14,7,7,0.5,50.5,102.1,37.4,84.1,44.5,6.7,18.6,36,20.6,26,79.1,10.9,32.4,43.2,22.9,13.6,7.8,4.9,6.5,24.3,22.7,0,2009,0
Chicago Bulls,7,3,4,0.429,53,108.3,38.4,87.1,44.1,7.3,19.3,37.8,24.1,29.9,80.9,10.4,35.1,45.6,19.9,16.1,6.7,8.1,6.7,24.6,23.6,-4.3,2009,0
Miami Heat,7,3,4,0.429,48,88.1,31.3,69.6,45,7.1,20,35.7,18.4,22.6,81.6,8.9,29.9,38.7,15,13.4,6.1,5.7,3.6,22.1,21.3,0.9,2009,0
Atlanta Hawks,11,4,7,0.364,48,84,30.1,73.6,40.9,6.1,17.5,34.7,17.7,23.8,74.4,10.7,24.2,34.9,16.9,12.1,6.9,3.4,5.5,21.4,21.1,-7.1,2009,0
Philadelphia 76ers,6,2,4,0.333,48,88.5,34,75,45.3,5.8,15.8,36.8,14.7,20.7,71,8,28.8,36.8,17.8,14.7,6.2,3,5,23,20.2,-7.7,2009,0
Portland Trail Blazers,6,2,4,0.333,48,87.2,33.3,74.5,44.7,5.5,14.2,38.8,15,19.7,76.3,9.8,26.5,36.3,14.7,11.3,6,7.5,3.3,21.7,20,-5.3,2009,0
New Orleans Hornets,5,1,4,0.2,48,84.2,27.8,70.2,39.6,6,18.4,32.6,22.6,28,80.7,9.2,27.8,37,15.8,18.4,6.6,2.6,5.2,24.8,24.8,-24.2,2009,0
San Antonio Spurs,5,1,4,0.2,48,90.4,35,76.6,45.7,5.8,17.6,33,14.6,20.6,70.9,8.8,28.8,37.6,16,11,5.6,3,4.6,22,18.6,-6,2009,0
Utah Jazz,5,1,4,0.2,48,97.4,35,81,43.2,5,14.6,34.2,22.4,30.2,74.2,13.2,29.4,42.6,25.4,14.6,9.8,3.4,5.6,23.8,24.4,-9.2,2009,0
Detroit Pistons,4,0,4,0,48,78,31.5,77,40.9,3,12.3,24.5,12,14.5,82.8,7.5,26,33.5,16.5,11.3,4.3,3,4.5,23.8,15.8,-15.5,2009,0
Los Angeles Lakers,21,14,7,0.667,48.2,102.4,36.8,78.6,46.8,7,19,36.7,22,29.1,75.3,8.8,30.8,39.6,20.8,13.3,7.2,5.3,4.4,23.3,25,2.2,2008,0
Boston Celtics,26,16,10,0.615,48,94,33.6,75.1,44.7,6,16.8,35.9,20.8,26.6,78.3,11.1,28.9,40,21.5,12.8,7.6,4.3,5,24.3,22.8,5.2,2008,1
Detroit Pistons,17,10,7,0.588,48,91.4,33.9,74.5,45.5,4.5,13.3,34.1,19.1,23.8,80.2,10.6,25.6,36.2,20.5,12.9,7.4,5.8,3.9,23.3,21.8,2.3,2008,0
New Orleans Hornets,12,7,5,0.583,48,96.6,37.6,81,46.4,5.8,14,41.1,15.7,20.3,77.4,10.3,31.8,42.1,19.3,8.8,7.3,5.1,4,20.7,20.7,3.7,2008,0
Cleveland Cavaliers,13,7,6,0.538,48,89.9,31.1,74.1,42,6.7,19.4,34.5,21.1,29.2,72.1,11.8,29.2,40.9,20.2,13.8,6,4.8,4.2,22.1,23.5,2.2,2008,0
San Antonio Spurs,17,9,8,0.529,48.6,94.1,35.5,79.7,44.6,7.5,20.1,37.5,15.5,20.8,74.5,9,32.8,41.8,20.4,12.8,5.3,4.1,5.3,22.5,20.3,-0.9,2008,0
Utah Jazz,12,6,6,0.5,48.4,98.9,36.4,81.8,44.5,5.8,16.7,35,20.3,27,75,14.5,29.8,44.3,21.4,12.9,6.5,5.8,6.5,25.5,22.8,-0.3,2008,0
Orlando Magic,10,5,5,0.5,48,97.1,35.4,75.4,46.9,9,25.3,35.6,17.3,24.3,71.2,11.7,31.2,42.9,17.4,14.5,4.8,4.9,3.4,20.5,22,1.6,2008,0
Atlanta Hawks,7,3,4,0.429,48,87.1,29.3,71.3,41.1,4,12.4,32.2,24.6,31.4,78.2,11.6,26.7,38.3,17.4,15.9,4.3,5.7,5.7,20.1,25,-12,2008,0
Houston Rockets,6,2,4,0.333,48,88,32.2,78.7,40.9,5.8,20,29.2,17.8,26.2,68.2,13,29,42,15.5,10.8,6.8,5.5,6.2,21.2,21.8,-2.5,2008,0
Philadelphia 76ers,6,2,4,0.333,48,85.8,31.2,74.7,41.7,1.8,7.8,23.4,21.7,30,72.2,13.5,24.7,38.2,15.8,14.8,8.8,3.7,6.8,19.2,23.7,-7,2008,0
Washington Wizards,6,2,4,0.333,48,92.2,32,75.2,42.6,6,19.7,30.5,22.2,29,76.4,9.7,27.7,37.3,15.7,12.3,7.2,4.8,4.8,22.8,23.2,-3.3,2008,0
Phoenix Suns,5,1,4,0.2,50,100.4,38,82.4,46.1,5,14.8,33.8,19.4,30.4,63.8,9.4,32.2,41.6,18.8,12.4,5.2,7,5,22.6,27.6,-2,2008,0
Toronto Raptors,5,1,4,0.2,48,99.4,37.2,85.6,43.5,8.4,24,35,16.6,19.2,86.5,9.8,29.4,39.2,24,10,7.2,2.4,5.2,22.8,18,-4.6,2008,0
Dallas Mavericks,5,1,4,0.2,48,94,31.6,78.8,40.1,7.2,20.8,34.6,23.6,30,78.7,14.4,30.8,45.2,19.4,11.6,4,4,5.6,20.6,22.4,-8.8,2008,0
Denver Nuggets,4,0,4,0,48,101.5,37.8,88.5,42.7,4.5,18,25,21.5,29,74.1,16.5,32.3,48.8,18.5,14.5,6.3,4.8,6.3,25.5,22.5,-13.3,2008,0
San Antonio Spurs,20,16,4,0.8,48,95.7,35.3,76.8,45.9,7.6,19.7,38.4,17.6,24.3,72.4,10.5,30.1,40.6,19.9,13.9,7.1,5.5,4.6,20.5,20.8,4,2007,1
Detroit Pistons,16,10,6,0.625,48.6,91.4,32.7,76,43,5.8,16.6,35,20.2,26.3,76.7,11.8,28.8,40.6,20.1,13.3,7.1,4.7,3.7,23.9,22.3,2.9,2007,0
Chicago Bulls,10,6,4,0.6,48,92.4,32.5,75.6,43,5.9,16.6,35.5,21.5,29.5,72.9,11.6,30.3,41.9,20.6,15.3,7,4.2,4.4,22.1,25.5,1.1,2007,0
Cleveland Cavaliers,20,12,8,0.6,48.5,88.8,32.1,76.3,42.1,5.4,16.6,32.6,19.2,26.1,73.7,11.9,31.4,43.3,17.5,13,7.2,3.5,3.8,20.7,21,2.2,2007,0
Phoenix Suns,11,6,5,0.545,48,104.1,39,81.8,47.7,7.1,18.7,37.9,19,24.4,78,9.2,31.2,40.4,23.4,13.8,6.4,5.2,5.3,19.6,22.5,5,2007,0
Utah Jazz,17,9,8,0.529,48.3,97.9,36.4,79.4,45.9,4.3,12.6,34.1,20.8,27.7,74.9,13,31.2,44.2,22.2,16,7.4,4.8,5.5,24.6,23.2,0.9,2007,0
New Jersey Nets,12,6,6,0.5,48,90.2,32.6,73.3,44.4,7.7,20.8,36.8,17.3,23.3,74.3,8.6,31.3,39.8,23,16.1,6.3,2.9,4,21.2,21.4,1.8,2007,0
Golden State Warriors,11,5,6,0.455,48.5,106.6,36.5,81.2,45,11.1,31,35.8,22.5,30.5,73.5,11.5,26.8,38.3,17.2,14.9,10.3,5.5,4.9,26.6,25.1,1.7,2007,0
Houston Rockets,7,3,4,0.429,48,87.3,29.7,72.4,41,7.1,22.3,32.1,20.7,26.3,78.8,9.9,31.7,41.6,18.1,14.9,7,4.1,4.9,19.3,22.9,-3.1,2007,0
Dallas Mavericks,6,2,4,0.333,48,98.5,34.2,80.8,42.3,7,22.2,31.6,23.2,30,77.2,14,30.3,44.3,17.8,16.3,8.3,5,4.3,23.8,24.8,-6.7,2007,0
Toronto Raptors,6,2,4,0.333,48,90.8,32.5,73.5,44.2,5.3,14.5,36.8,20.5,25.5,80.4,7.3,30.5,37.8,16.2,14.7,7.7,4,3.5,21.3,21.3,-5.3,2007,0
Denver Nuggets,5,1,4,0.2,48,88.2,33.6,79.4,42.3,4.6,14.4,31.9,16.4,21,78.1,13,30.4,43.4,17.6,15.2,5.6,4.2,5.2,18,17.8,-6,2007,0
Los Angeles Lakers,5,1,4,0.2,48,98,38,86,44.2,6.4,19.8,32.3,15.6,21.6,72.2,14.2,29.2,43.4,14.4,15.2,5.8,4,4,23,18.6,-10.4,2007,0
Washington Wizards,4,0,4,0,48,91.5,34.3,83,41.3,6.3,20.5,30.5,16.8,21.8,77,10.3,26.3,36.5,18.8,8.8,5.5,3,3.5,21.3,19,-8.8,2007,0
Orlando Magic,4,0,4,0,48,88,34.5,72.3,47.8,2.5,7.3,34.5,16.5,28.5,57.9,11.3,29,40.3,18,14.8,4.3,3.5,4.3,24.3,23,-9,2007,0
Miami Heat,4,0,4,0,48,88.8,33.3,74.8,44.5,5.5,17,32.4,16.8,27.3,61.5,8,28.3,36.3,17.8,14.8,6.3,5.3,4.3,25.3,23.5,-11,2007,0
Miami Heat,23,16,7,0.696,48.2,96.3,34.8,72.4,48.1,6.3,19.1,33.3,20.3,30.9,65.5,9.5,32.5,42,17.5,15.5,7,4.6,2.9,24,25.7,3.8,2006,1
Dallas Mavericks,23,14,9,0.609,48.9,99.7,36.1,80.1,45.1,4.8,15.1,31.7,22.7,28,80.9,12.2,30.5,42.7,15.3,12.8,6.6,4.3,4.8,25.5,24.4,4.1,2006,0
Los Angeles Clippers,12,7,5,0.583,48.8,105.7,39.7,80.8,49.1,4.5,11.9,37.8,21.8,26.8,81.6,11,34.6,45.6,20.8,15.5,5,5.9,4.2,23.9,22.4,3.8,2006,0
Detroit Pistons,18,10,8,0.556,48,91.7,32.1,74.3,43.2,6.9,18.5,37.2,20.6,28.4,72.4,11.3,27.4,38.8,18.7,11.9,6.4,4.1,4.3,20.4,23.8,3.2,2006,0
San Antonio Spurs,13,7,6,0.538,49.2,103.1,36.5,74.1,49.2,6,15.3,39.2,24.2,31.1,77.7,8.2,29,37.2,17.5,13.3,6.5,5.5,4.2,23.7,26.6,2.2,2006,0
Cleveland Cavaliers,13,7,6,0.538,48.8,90.4,33.6,76.8,43.7,4.2,13.2,32,18.9,24.8,76.4,12.5,29.8,42.2,16.2,14.5,6.5,4.2,5.4,24.6,21,-3.2,2006,0
Phoenix Suns,20,10,10,0.5,49,107.2,40.1,83.1,48.2,9.2,23.5,39.1,17.9,21.6,83.1,7.7,29,36.7,23.4,11.6,5.7,4.4,4.3,21.9,21.7,1.2,2006,0
New Jersey Nets,11,5,6,0.455,48,94.2,34.3,75.8,45.2,5.4,17.5,30.7,20.3,26.6,76.1,10,28.6,38.6,22.1,12.7,6.9,2.5,3.7,26.6,24,-0.9,2006,0
Los Angeles Lakers,7,3,4,0.429,49.4,100.6,37.7,83.1,45.4,7.1,21.4,33.3,18,23.6,76.4,11,31.6,42.6,17.1,15,6.4,3.1,3.4,22.9,21.4,-6.7,2006,0
Chicago Bulls,6,2,4,0.333,48,98.3,34,76.3,44.5,7.8,19.8,39.5,22.5,30.3,74.2,8.8,30.5,39.3,18.3,15.8,5.7,3.8,5.3,25.8,26.2,-3,2006,0
Sacramento Kings,6,2,4,0.333,48.8,97.3,34.7,78.2,44.3,5.2,15.7,33,22.8,28.8,79.2,12.3,26,38.3,15.3,13,7.5,2.5,5.7,26,22.8,-9.5,2006,0
Washington Wizards,6,2,4,0.333,49.7,101.7,35.3,78.7,44.9,6.2,19.2,32.2,24.8,33.3,74.5,11.5,27.7,39.2,17.5,12.8,6.8,5.5,4.3,22.7,26.8,0.2,2006,0
Indiana Pacers,6,2,4,0.333,48,89.3,31.2,70.3,44.3,6.7,19.5,34.2,20.3,27.2,74.8,8.3,29,37.3,17.8,15.8,6,4.5,3.2,24.8,25.2,-3.7,2006,0
Milwaukee Bucks,5,1,4,0.2,48,97.6,37.8,80.2,47.1,5.2,12.4,41.9,16.8,21.4,78.5,10.6,26.4,37,21,13.2,6,2.4,4.4,26.8,20,-9.6,2006,0
Denver Nuggets,5,1,4,0.2,48,87.4,32.6,85.8,38,3,13.6,22.1,19.2,26.4,72.7,14,27.8,41.8,19.8,11.8,6.8,4.2,5.8,23.2,27,-7.6,2006,0
Memphis Grizzlies,4,0,4,0,49.3,84.3,30,66.5,45.1,3.8,12,31.3,20.5,28.3,72.6,8.3,26,34.3,14,16,4.8,3.8,4.5,27.5,28,-14,2006,0
Miami Heat,15,11,4,0.733,48.7,98,36,73.1,49.2,6,15.5,38.8,20,29.9,66.8,8.3,33.3,41.6,18.9,15.3,5.5,5.7,3.4,24.5,0,4.3,2005,0
San Antonio Spurs,23,16,7,0.696,48.4,96.9,34.7,76.5,45.4,7.1,18.3,38.9,20.4,28,72.7,12.3,29.7,42.1,18.4,14.5,5.6,5.8,5.9,21.9,0,4.3,2005,1
Detroit Pistons,25,15,10,0.6,48.4,90.3,34.5,79,43.7,4.5,13.9,32.6,16.8,22.6,74.2,12.4,29.9,42.3,20.5,12.2,7.3,6.1,5.5,21,0,4.7,2005,0
Phoenix Suns,15,9,6,0.6,48.3,112,41.8,84.8,49.3,8.6,19.7,43.6,19.8,25.8,76.7,12.1,31.1,43.1,20.5,12.9,6.1,6.3,4.9,20.1,0,4.2,2005,0
Seattle SuperSonics,11,6,5,0.545,48,98.5,35.5,77.5,45.8,4.8,15.7,30.6,22.8,28.5,79.9,12.6,27.6,40.3,16.2,13.8,6.5,4.5,5.1,26.1,0,-1.7,2005,0
Dallas Mavericks,13,6,7,0.462,48.4,105.2,38.1,84.2,45.2,6.6,17.5,37.9,22.4,28.5,78.6,14.4,29.1,43.5,17.5,13.2,7.2,5.1,5.9,22.7,0,-1.6,2005,0
Indiana Pacers,13,6,7,0.462,48.4,84,28.8,73,39.5,5.6,17.8,31.6,20.7,26.4,78.4,10.9,29.2,40.1,18,15.1,8.1,5.9,6.6,22,0,-2.9,2005,0
Houston Rockets,7,3,4,0.429,48,97.6,35,75.1,46.6,7.1,17.7,40.3,20.4,25.9,79,10.7,27,37.7,18,14.3,7.3,5.9,4.9,24.7,0,-2.7,2005,0
Boston Celtics,7,3,4,0.429,48.7,87.7,32.9,74.3,44.2,4.9,14.9,32.7,17.1,22.7,75.5,10.3,29.1,39.4,16.6,15.3,8.4,6.4,6.6,25.4,0,-0.6,2005,0
Washington Wizards,10,4,6,0.4,48,100.4,35.1,82.6,42.5,5.6,18.8,29.8,24.6,33.8,72.8,12.9,29.9,42.8,17.2,13.7,8.2,5.8,5.4,25.4,0,-2.5,2005,0
Chicago Bulls,6,2,4,0.333,48,102.5,35.5,84.7,41.9,9,23.2,38.8,22.5,31.2,72.2,14.2,30.3,44.5,21.7,15.2,6.3,5,6.5,29.2,0,-1.8,2005,0
Philadelphia 76ers,5,1,4,0.2,49,90.8,34.8,79.6,43.7,6.6,19.4,34,14.6,20.4,71.6,9.6,25.2,34.8,19.8,12.8,8.6,4,6.4,21.8,0,-8,2005,0
Sacramento Kings,5,1,4,0.2,48,102.2,38.4,86.2,44.5,5.8,20.8,27.9,19.6,24.6,79.7,13,23,36,20.2,11.2,6.2,4,4.8,25.8,0,-4.4,2005,0
Denver Nuggets,5,1,4,0.2,49,90.2,32.8,78.6,41.7,2.2,8.4,26.2,22.4,30.4,73.7,10.2,29.2,39.4,16.4,13,6.4,5.8,7,27,0,-10.2,2005,0
New Jersey Nets,4,0,4,0,50.5,96.8,33.5,84.8,39.5,6.3,21.5,29.1,23.5,31.3,75.2,13,29.8,42.8,21.3,13,7.5,1.3,3.5,30.8,0,-12.8,2005,0
Memphis Grizzlies,4,0,4,0,48,102.8,41.5,87.8,47.3,7.8,19.8,39.2,12,17,70.6,11.8,27.8,39.5,21,10.8,5.8,4.5,7.8,24.5,0,-11,2005,0
Detroit Pistons,23,16,7,0.696,48.9,87.1,31.4,76.3,41.2,4.2,13.9,30.4,20.1,27.3,73.4,12.9,32,44.8,19.4,14.9,8,7.1,5.1,22.5,0.2,6.4,2004,1
New Jersey Nets,11,7,4,0.636,49.4,88.2,30.8,72.8,42.3,4.5,16.4,27.2,22.1,30.3,73,10.6,32.1,42.7,20.5,18.5,8.6,5.4,5.8,26,0.2,2.5,2004,0
Indiana Pacers,16,10,6,0.625,48,85.5,30.7,75.1,40.8,5.9,17.8,33.3,18.2,24.8,73.3,10.8,31.3,42.1,17.9,13.6,8.7,6.3,6.3,23.5,0.1,4.4,2004,0
San Antonio Spurs,10,6,4,0.6,48,89.3,33.5,76.2,44,6.9,18.9,36.5,15.4,23.9,64.4,12.6,29.7,42.3,19.4,15.5,7.7,4.2,5.2,22.8,0.1,3.1,2004,0
Los Angeles Lakers,22,13,9,0.591,48.5,88.1,33,74.5,44.4,5,15.5,32.1,17.1,27.9,61.2,10.2,30,40.2,22.6,12.6,7.3,4.2,3.4,22.9,0.1,0.9,2004,0
Sacramento Kings,12,7,5,0.583,48.4,95.2,35.3,82.9,42.5,5.8,16.8,34.8,18.8,24.8,75.8,10.9,33.1,44,22.8,14.3,9.4,3.7,6.3,21.1,0,0.1,2004,0
Minnesota Timberwolves,18,10,8,0.556,48.3,91.9,33.9,77.1,44.1,5.9,15.2,38.7,18.2,23.3,78,9.7,32.3,42,19.3,15,6.6,5.2,3.4,24.3,0.1,-0.1,2004,0
Miami Heat,13,6,7,0.462,48,84.1,30.5,74.8,40.8,3.7,13.4,27.6,19.3,25.6,75.4,11.4,30.5,41.8,16.3,14.2,7.5,4.1,5,24.4,0.2,0.2,2004,0
New Orleans Hornets,7,3,4,0.429,48,80.6,29.3,76.3,38.4,5.9,18.6,31.5,16.1,20.7,77.9,12.3,30,42.3,19.3,17.1,6.1,4.6,4,20.9,0.1,-3,2004,0
Dallas Mavericks,5,1,4,0.2,48,99.6,38.2,96.4,39.6,5,17.4,28.7,18.2,23.6,77.1,20.4,31.8,52.2,20.6,13.6,9.2,6.6,4.6,21.6,0,1.4,2004,0
Milwaukee Bucks,5,1,4,0.2,48,85.6,32.4,77.8,41.6,4.8,14.4,33.3,16,21.6,74.1,11.2,28,39.2,20.6,16.4,8.2,4.2,8,22.4,0.2,-12.6,2004,0
Houston Rockets,5,1,4,0.2,49,84.6,31.8,74.4,42.7,4.6,15.2,30.3,16.4,22.8,71.9,9.6,34.8,44.4,17.2,16.8,5.2,3.6,4,22.8,0,-5.4,2004,0
Denver Nuggets,5,1,4,0.2,48,90.6,37.2,87.2,42.7,4.4,13,33.8,11.8,16.8,70.2,14.4,28.8,43.2,20.4,14.2,7.8,2.8,6,24.2,0,-4,2004,0
