TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON,CHAMPION
Memphis Grizzlies,4,0,4,0,48,83.5,30.8,72.5,42.4,3.8,12.8,29.4,18.3,23.5,77.7,9.5,25,34.5,14.5,14.3,9.5,5,6.3,25,0.3,-14,2004,0
New York Knicks,4,0,4,0,48,84,30.8,80,38.4,4.3,14.5,29.3,18.3,25.3,72.3,12.3,26.3,38.5,19.5,16.3,9.3,4,5,28,0,-12.8,2004,0
Boston Celtics,4,0,4,0,48,84.5,28.8,70.5,40.8,5.3,15.8,33.3,21.8,27,80.6,9.3,31.8,41,17.5,19.8,6.5,5,6,20.3,0,-16.8,2004,0
New Jersey Nets,20,14,6,0.7,48.8,93.7,34.2,80.6,42.5,4.7,13.3,35,20.6,27.1,76.2,13.6,31.5,45.1,21.3,15.2,7.5,4.3,6.4,25.1,0.1,3.4,2003,0
San Antonio Spurs,24,16,8,0.667,48.2,94.8,33.8,76.8,44.1,5.3,15.2,35.1,21.8,30.6,71.2,12.1,33.4,45.5,20.7,15.2,7.8,6.9,5.7,21.4,0,5.5,2003,1
Sacramento Kings,12,7,5,0.583,48.8,107.9,39.3,85.5,45.9,6.8,18.4,36.7,22.7,29.2,77.7,12.8,31.5,44.3,22.6,13.4,7.5,4.8,5.6,23,0.1,2.3,2003,0
Los Angeles Lakers,12,6,6,0.5,48.4,100.3,37.3,83.3,44.8,7.1,20,35.4,18.5,26.1,70.9,12.3,30.9,43.3,20.9,13.8,7,5.3,3.8,24,0.1,0.3,2003,0
Dallas Mavericks,20,10,10,0.5,48.5,104.1,38.7,86.1,45,9.2,23.2,39.7,17.5,21.1,82.9,11.2,30.9,42.1,20.4,12.5,6.1,5.2,4.5,24.3,0.1,-0.6,2003,0
Philadelphia 76ers,12,6,6,0.5,48.8,92.1,33.7,75.9,44.3,3.8,10.7,35.2,21,26.2,80.3,12.1,29.8,41.8,18.9,14.8,7.2,2.5,5.4,23.9,0.1,0.8,2003,0
Detroit Pistons,17,8,9,0.471,48.6,89.9,30.2,73.8,41,6.7,19.1,35.2,22.8,30.7,74.1,10.8,28.3,39.1,17.8,13.4,8,5.9,3.8,23.5,0,0.9,2003,0
Orlando Magic,7,3,4,0.429,48,87.6,31,73.1,42.4,5.1,16.3,31.6,20.4,26.1,78.1,9.9,28.3,38.1,16,15.3,5.3,4,5.4,29.9,0,-7.3,2003,0
Portland Trail Blazers,7,3,4,0.429,48,101.3,36.4,79,46.1,6.3,17,37,22.1,29.4,75.2,15,29.7,44.7,23.3,13.7,6.3,3,4.3,22.6,0.1,1,2003,0
Boston Celtics,10,4,6,0.4,49.5,94.6,33.4,79.1,42.2,8.6,24.3,35.4,19.2,24,80,8.8,31.9,40.7,20.7,14.8,8.6,4.3,4.3,25.9,0.1,-0.6,2003,0
Minnesota Timberwolves,6,2,4,0.333,48.8,100.5,37.5,81,46.3,4.7,14,33.3,20.8,25.8,80.6,8.8,33.3,42.2,22,15.8,6.8,3.5,5.7,24.2,0,-6.3,2003,0
Phoenix Suns,6,2,4,0.333,48.8,85.2,32.3,83.7,38.6,4.7,15.7,29.8,15.8,22.2,71.4,13.3,29.7,43,16.2,16.2,9.5,5.8,6.8,29.2,0,-5.3,2003,0
Indiana Pacers,6,2,4,0.333,48.8,91.2,30.2,77.7,38.8,5.2,17.7,29.2,25.7,32.5,79,13.2,33.7,46.8,19.8,14.2,7,5.8,4,23.5,0,-5.7,2003,0
New Orleans Hornets,6,2,4,0.333,48,92.8,33.8,77.2,43.8,6.3,17.2,36.9,18.8,25.3,74.3,12.3,26.8,39.2,20,14.7,7.3,5,2.3,25.5,0.3,-1.7,2003,0
Milwaukee Bucks,6,2,4,0.333,48.8,97.8,36.5,79.5,45.9,6.3,17,37.3,18.5,24.8,74.5,8.3,27,35.3,20.2,13.3,7.2,3.8,3.2,27.3,0,-4.3,2003,0
Utah Jazz,5,1,4,0.2,48,93,33.8,77.8,43.4,1.8,6.8,26.5,23.6,30,78.7,14,25.2,39.2,21,16.4,7.2,5.6,5.8,24.8,0.2,-10.6,2003,0
Los Angeles Lakers,19,15,4,0.789,48.3,97.8,35.7,80.5,44.4,6.1,18,33.9,20.3,28.1,72.1,12.3,33.2,45.4,19.6,13.7,6.8,5.8,4.4,23.6,0.1,3.8,2002,1
Sacramento Kings,16,10,6,0.625,48.6,101.1,36.9,82.4,44.8,5,16.2,30.9,22.2,29.9,74.1,12.9,32.6,45.6,20.6,14.8,7.5,4.7,5.4,23.8,0.1,2.3,2002,0
Boston Celtics,16,9,7,0.563,48,91.3,32.8,78.4,41.8,7.9,22.9,34.3,17.8,22.9,77.4,10.6,32.7,43.3,18.8,14.1,8.9,4.8,4.9,22.9,0,2.8,2002,0
New Jersey Nets,20,11,9,0.55,48.5,95.4,35.9,82.9,43.2,4.2,14.6,28.5,19.5,26.9,72.6,12.4,30.4,42.7,21.3,14.2,7.9,5.5,6.3,24.5,0.1,-0.1,2002,0
Dallas Mavericks,8,4,4,0.5,48.6,109,39.8,88,45.2,8.4,22.1,37.9,21.1,25.3,83.7,10.9,31,41.9,19.6,12.5,6.3,4.6,4.1,25.8,0.3,0.3,2002,0
Charlotte Hornets,9,4,5,0.444,49.1,96.1,34.1,81,42.1,4.4,12.2,36.4,23.4,32.3,72.5,14.7,31.6,46.2,19.6,14.8,8.9,7.3,5.2,27.4,0.1,0,2002,0
Indiana Pacers,5,2,3,0.4,50,91.6,34.8,76,45.8,4.8,11.8,40.7,17.2,22.6,76.1,8.4,33.8,42.2,21.2,18.2,8.2,4,6.4,25,0,0.2,2002,0
Toronto Raptors,5,2,3,0.4,48,83.8,32.6,77.2,42.2,3.4,10.6,32.1,15.2,20.6,73.8,12.4,30,42.4,21,16,8,5.2,5.2,23.4,0.2,-2.8,2002,0
Philadelphia 76ers,5,2,3,0.4,48,89,30.4,73.6,41.3,4,13,30.8,24.2,32,75.6,12.6,28.6,41.2,19.4,14.4,9,4,4.6,18.6,0,-8.8,2002,0
Seattle SuperSonics,5,2,3,0.4,48,86.2,34.2,79.6,43,4.8,12.2,39.3,13,19,68.4,11.4,28.8,40.2,17.4,10.6,4,4.8,7.8,23.4,0,-10.2,2002,0
Detroit Pistons,10,4,6,0.4,48,83,29.4,73.6,39.9,8,22.6,35.4,16.2,22.4,72.3,9.6,28.1,37.7,18.7,14.6,7.3,5.6,4.4,21,0.1,-0.4,2002,0
San Antonio Spurs,10,4,6,0.4,48,91.1,32.9,76.2,43.2,5,14.7,34,20.3,26.6,76.3,11.1,29.9,41,16.9,11.1,6.1,6.5,5,20.4,0.1,3,2002,0
Utah Jazz,4,1,3,0.25,48,88,33,79.5,41.5,3.5,11.5,30.4,18.5,27,68.5,15.3,28,43.3,23,16.5,9,7,5,26,0.3,-1,2002,0
Orlando Magic,4,1,3,0.25,50.5,93.8,33.3,78.5,42.4,4.3,16.5,25.8,23,31,74.2,9,30.5,39.5,19.5,12,5.5,3.8,6,25.8,0,-5,2002,0
Portland Trail Blazers,3,0,3,0,48,91.3,31.3,82,38.2,6.7,18,37,22,27.7,79.5,12,32,44,20.7,14.7,8.3,3,6.3,27,0.3,-5.3,2002,0
Minnesota Timberwolves,3,0,3,0,48,102,36,81,44.4,5,12.7,39.5,25,34.7,72.1,14.3,35,49.3,16,15.7,5.7,2.7,5.3,27,0.7,-10.7,2002,0
Los Angeles Lakers,16,15,1,0.938,48.3,103.4,38.3,81.8,46.8,6.1,15.9,38.6,20.8,30.7,67.6,14.3,33.9,48.2,22.8,14,9.2,5.8,5.8,22.7,0,12.8,2001,1
Charlotte Hornets,10,6,4,0.6,48,95.7,33.9,78.1,43.4,4.4,12,36.7,23.5,31.4,74.8,13.2,29.9,43.1,19.7,12.1,8.6,4.6,6.9,20.9,0,6.3,2001,0
Milwaukee Bucks,18,10,8,0.556,48.3,95.7,35,80.6,43.4,6.7,17.6,38.3,18.9,23.7,80,12.8,31.9,44.8,21.9,13,5.9,6.8,4.8,23.8,0,1.4,2001,0
San Antonio Spurs,13,7,6,0.538,48,91.5,33.4,76.1,43.9,5.5,15.2,36.4,19.2,26.8,71.6,10.7,32.9,43.6,19.6,13.9,6.1,6,5.5,20.7,0,-0.4,2001,0
Philadelphia 76ers,23,12,11,0.522,48.2,92.3,34,80.8,42.1,3.8,11.4,33.6,20.4,26.9,76.1,14.1,29.7,43.9,20,12.4,8,4.9,6.8,20.7,0,-0.1,2001,0
Toronto Raptors,12,6,6,0.5,48,92.2,35.3,79.5,44.3,5.9,15.1,39.2,15.8,20.8,75.6,11.9,26.8,38.8,22.4,13.6,7.8,6.1,4.8,21.4,0,0.9,2001,0
Utah Jazz,5,2,3,0.4,48,89.6,33,77.8,42.4,3.6,11,32.7,20,25.8,77.5,12.6,29.4,42,23.2,12.2,5.2,5.2,5.4,26.8,0,-4.2,2001,0
New York Knicks,5,2,3,0.4,48,89,33.4,71.4,46.8,4,11.8,33.9,18.2,23.4,77.8,7.8,28.6,36.4,15.6,14.6,6.2,3.8,5.2,24.2,0,-3.2,2001,0
Dallas Mavericks,10,4,6,0.4,48,92.2,32.2,80.8,39.9,6.1,17.2,35.5,21.7,25.6,84.8,12.2,28.8,41,17,11.6,5.9,5.5,5.3,23.4,0,-3.7,2001,0
Sacramento Kings,8,3,5,0.375,48,97.6,34.6,86,40.3,5,14.3,35.1,23.4,28.6,81.7,15.1,32.5,47.6,16.8,16.6,8.1,5.3,5.6,24.3,0,0.1,2001,0
Minnesota Timberwolves,4,1,3,0.25,48,82,30.8,79.5,38.7,3,10,30,17.5,21.5,81.4,11,31.5,42.5,18.5,12.8,7.5,5.8,4.5,24.3,0,-6.5,2001,0
Phoenix Suns,4,1,3,0.25,48,88.5,34,89.5,38,4.3,17,25,16.3,22.8,71.4,13.5,30.8,44.3,21.3,13.8,9.8,5.8,5.3,23.5,0,-9.5,2001,0
Indiana Pacers,4,1,3,0.25,48,87.3,32.8,82.3,39.8,6.3,18.3,34.2,15.5,18.8,82.7,11.8,28,39.8,20.8,12.5,4.8,4.5,5.8,23.5,0,-6.3,2001,0
Orlando Magic,4,1,3,0.25,49.3,102.8,39,89.8,43.5,8,20.5,39,16.8,24.5,68.4,13.5,30.3,43.8,22,11.3,8,6.3,5.3,26.5,0,-5.8,2001,0
Portland Trail Blazers,3,0,3,0,48,89,32,76.3,41.9,5.3,20.3,26.2,19.7,26,75.6,9.7,28,37.7,16.3,15,6.3,4.7,2,21.3,0,-14.7,2001,0
Miami Heat,3,0,3,0,48,78.3,29.7,72.3,41,5.3,16.7,32,13.7,19.3,70.7,7.3,27.7,35,16.7,18.7,5,5,4,25.3,0,-22.3,2001,0
Los Angeles Lakers,23,15,8,0.652,48.2,99.8,37.3,80.4,46.5,5.4,15.4,34.9,19.7,31.6,62.3,13.2,30.1,43.3,21.8,12.1,6.6,6.1,3.7,25.3,2.1,2.3,2000,1
Portland Trail Blazers,16,10,6,0.625,48,92.5,32.4,73.1,44.4,5.4,14.6,37.2,22.2,28.3,78.5,9.8,28.4,38.2,19.3,12.7,7.4,3.8,5.4,25.2,1.6,4.8,2000,0
Miami Heat,10,6,4,0.6,48.5,83.2,30.9,73.7,41.9,4.7,14.9,31.5,16.7,24.2,69,10.5,32.9,43.4,19.1,13.9,7.2,5.1,3.3,26,2,2.5,2000,0
Indiana Pacers,23,13,10,0.565,48.2,98.1,35,78.9,44.3,7.1,18.8,37.9,21,25.4,82.7,10.1,30.4,40.5,20.3,11.6,5.4,4.7,4.4,23.4,1.7,2.7,2000,0
New York Knicks,16,9,7,0.563,48.3,84.4,31.2,72.4,43.1,4.5,11.4,39.3,17.6,23,76.4,8.1,30.4,38.4,14.6,11.8,6.5,4.1,4.3,22.9,2,-1.1,2000,0
Philadelphia 76ers,10,5,5,0.5,48.5,94.2,34.2,80,42.8,3.9,12.3,31.7,21.9,29.5,74.2,13.5,28.9,42.4,19.1,12.7,6.5,4.5,6.1,22.6,1.9,-1.3,2000,0
Phoenix Suns,9,4,5,0.444,48,87.3,33.4,82.2,40.7,4.7,16.8,27.8,15.8,22.6,70,13.9,31,44.9,21,15.2,8.1,6.2,6.9,27.4,1.9,-3.7,2000,0
Utah Jazz,10,4,6,0.4,48,88.3,33.1,74.6,44.4,4.6,12.3,37.4,17.5,23.7,73.8,10.3,30,40.3,23.6,14.9,6.9,5.4,3.8,25,2.6,-4.9,2000,0
Sacramento Kings,5,2,3,0.4,48,96.4,33.6,81,41.5,6.6,17.4,37.9,22.6,30,75.3,11.8,29.4,41.2,16.6,12,6.8,3.6,6.4,22,1.2,-8,2000,0
Milwaukee Bucks,5,2,3,0.4,48,96,37.8,82.6,45.8,3.6,11.6,31,16.8,22,76.4,11.4,31.4,42.8,20.6,11.8,6.6,5.6,3.4,25,2.2,1.8,2000,0
Seattle SuperSonics,5,2,3,0.4,48,93.2,34.8,79.6,43.7,7,16.4,42.7,16.6,23.2,71.6,12.4,28.6,41,19.8,14.6,8.2,3.4,5.8,21.8,2,-1.2,2000,0
San Antonio Spurs,4,1,3,0.25,48,81.8,28.3,76,37.2,3,11,27.3,22.3,30.5,73,12.3,34,46.3,15,16.3,8.5,7.5,9.8,20.8,2.5,-1.3,2000,0
Minnesota Timberwolves,4,1,3,0.25,48,85.3,34.3,76.5,44.8,3,9.8,30.8,13.8,17.5,78.6,10.3,24.8,35,23.5,11.8,6,4,3.8,23.8,2.3,-2,2000,0
Charlotte Hornets,4,1,3,0.25,49.3,91.3,32.3,75,43,4.5,15,30,22.3,27,82.4,13.5,30.5,44,22.8,15.5,8.3,5.8,6,22,1,-2.8,2000,0
Detroit Pistons,3,0,3,0,48,79.7,28,69.3,40.4,4.3,11.7,37.1,19.3,27,71.6,6,28.3,34.3,14.7,17,6,1.7,7.3,24.7,5.7,-10.3,2000,0
Toronto Raptors,3,0,3,0,48,83.7,27.7,74,37.4,4.3,15.7,27.7,24,31,77.4,13,29.7,42.7,19,14.3,9,4.3,5,26,1.3,-4,2000,0
San Antonio Spurs,17,15,2,0.882,48,88.4,31.6,70.1,45.1,4.1,11.8,35,21.1,28.5,74.2,9.8,30.4,40.2,21.3,14.9,7.3,5.8,4.3,21.8,0.2,7.2,1999,1
Indiana Pacers,13,9,4,0.692,48.4,93.6,32.8,74.2,44.1,6.5,18,36.3,21.5,28.2,76.3,11.6,29.8,41.5,20.7,15.8,6.6,5.2,4.5,25.9,0.2,3.6,1999,0
New York Knicks,20,12,8,0.6,48,85,31.9,74.3,42.9,3.2,11.4,28.1,18.1,23.9,75.7,10.2,29.1,39.3,15,13.4,7.6,3.9,4.6,25.5,0.3,2,1999,0
Portland Trail Blazers,13,7,6,0.538,48,86.2,29.4,69.4,42.4,3.8,11.1,34,23.6,31.4,75.2,9.8,28.9,38.8,18.2,14.1,7.7,4.2,5.5,23.9,0.3,-0.5,1999,0
Utah Jazz,11,5,6,0.455,48.9,89.2,32.4,75,43.2,2.9,9.6,30.2,21.5,28.3,76.2,11.2,31.5,42.6,22,15.5,7.7,4.7,4.1,27.1,0.5,1.8,1999,0
Miami Heat,5,2,3,0.4,48,79,27.2,68,40,5.6,18.6,30.1,19,27,70.4,8.2,27.4,35.6,16.4,12.6,7.2,4.4,3,20.6,0.2,-4,1999,0
Sacramento Kings,5,2,3,0.4,50,90.6,32.4,79.6,40.7,6.2,22.2,27.9,19.6,26.4,74.2,12.8,28.6,41.4,18.2,17.8,10.6,4.4,4,23.8,0.4,-4.8,1999,0
Detroit Pistons,5,2,3,0.4,48,79.2,32.2,75,42.9,3.4,9.4,36.2,11.4,14.4,79.2,11.2,24,35.2,17.8,11.8,7.2,1.8,4.6,22.6,0.2,-3,1999,0
Philadelphia 76ers,8,3,5,0.375,48,89.3,34.6,82.1,42.2,2.5,10.5,23.8,17.5,24.5,71.4,16.9,27.5,44.4,19,13.3,10.4,5.1,4.9,25.5,0,0.5,1999,0
Los Angeles Lakers,8,3,5,0.375,48,94,35.3,79.6,44.3,4.8,15.6,30.4,18.8,29.3,64.1,12.1,28.3,40.4,19.5,14,6.6,6.4,4.1,25.3,0.3,-2.9,1999,0
Atlanta Hawks,9,3,6,0.333,48,79.7,28.6,74.6,38.3,4.8,15.3,31.2,17.8,23.1,76.9,12,26.9,38.9,13.9,14.3,8.1,4,2.9,19.4,0.4,-2.8,1999,0
Orlando Magic,4,1,3,0.25,48,86.3,27.8,73.8,37.6,6.8,21.8,31,24,32.3,74.4,14.5,25,39.5,19.8,19,9,3.8,6.8,23.5,0,-6.3,1999,0
Minnesota Timberwolves,4,1,3,0.25,48,80.5,32,80.8,39.6,2.5,8,31.3,14,18.3,76.7,14.3,29.3,43.5,18.8,14.5,6.5,6,5.8,24,0.3,-6.3,1999,0
Houston Rockets,4,1,3,0.25,48,97,33.8,81.3,41.5,7.8,21.3,36.5,21.8,28.5,76.3,13.3,32.5,45.8,20.5,13.3,7.5,4.5,8.5,26,0,-2.3,1999,0
Milwaukee Bucks,3,0,3,0,49.7,95.3,34,75,45.3,4.7,14,33.3,22.7,29.3,77.3,11,27,38,20,16.3,8.3,5,5,30,1,-10.3,1999,0
Phoenix Suns,3,0,3,0,48,92.3,34.7,80.7,43,7,18.7,37.5,16,21.7,73.8,10.3,22.7,33,22.3,14,10.3,2.3,5.7,29,0,-10.3,1999,0
Chicago Bulls,21,15,6,0.714,48.5,93.1,34.1,76.7,44.5,4.2,13,32.4,20.7,28.1,73.4,14,27,41,20.5,12.6,9,4.5,3.1,22.8,0.2,7,1998,1
Utah Jazz,20,13,7,0.65,48.5,89,33.4,73.4,45.5,3.3,9.4,35.3,19,25.5,74.5,9.7,30.1,39.8,22.3,14.4,6.5,4.9,5.5,26,0.3,2.1,1998,0
Indiana Pacers,16,10,6,0.625,48.3,91.8,32,69.6,46,5.4,14.5,37.5,22.3,29.4,76,9.3,26,35.3,19.1,14.6,7.2,4.9,3.6,24.8,0.2,2.3,1998,0
Los Angeles Lakers,13,7,6,0.538,48,100.2,35.6,75.1,47.4,6,17.5,34.4,23,35.4,65,13.4,26.7,40.1,22.7,12.9,7.4,7.8,5.8,24.6,0.2,1.2,1998,0
Charlotte Hornets,9,4,5,0.444,48,82.8,33.1,72.9,45.4,3.6,11.1,32,13,19,68.4,9.1,27,36.1,21.2,14.1,6.4,2.8,4.4,21.6,0.3,-6,1998,0
San Antonio Spurs,9,4,5,0.444,48.6,91.8,33.3,72.1,46.2,3.9,12.9,30.2,21.2,30.8,69,11,32.6,43.6,17.3,14.4,5.7,7,4.3,22.1,0.2,3.2,1998,0
Seattle SuperSonics,10,4,6,0.4,48,95.2,35.6,78.3,45.5,6.6,19.2,34.4,17.4,23.1,75.3,12.7,26.1,38.8,22,12.7,8.7,4.3,6.2,23.5,0.3,-2.4,1998,0
Miami Heat,5,2,3,0.4,48,87.4,30,69.6,43.1,7.2,20,36,20.2,29.6,68.2,8.2,28.6,36.8,16.4,13.6,6.8,3.8,1.4,25.4,0.4,-2.2,1998,0
Houston Rockets,5,2,3,0.4,48,84.6,29,75.4,38.5,4.8,18.6,25.8,21.8,29.8,73.2,11.2,31.2,42.4,16.2,13,7.2,5,5.8,23.8,0.2,-6.8,1998,0
Minnesota Timberwolves,5,2,3,0.4,48,90.2,33.2,79.8,41.6,7.4,19.6,37.8,16.4,20.4,80.4,13.6,25.8,39.4,23.2,14,7.4,3.6,3.8,22.6,0.6,-5.8,1998,0
New York Knicks,10,4,6,0.4,48.5,88.6,32.2,73.8,43.6,5.3,13.6,39,18.9,24.7,76.5,10.5,29.2,39.7,18.8,16.1,8.6,2,4.1,26.8,0.2,-2.2,1998,0
Phoenix Suns,4,1,3,0.25,48,93,37,85.3,43.4,4.3,12.8,33.3,14.8,21.3,69.4,12,28.5,40.5,19.8,11,8.5,4,7.3,25,0,-7.5,1998,0
Portland Trail Blazers,4,1,3,0.25,48,99.8,36,79.5,45.3,5.8,15.3,37.7,22,28.5,77.2,14,27.8,41.8,24,16.3,7,5.3,8.5,29.8,0,-4.3,1998,0
Cleveland Cavaliers,4,1,3,0.25,48,80.8,26.8,61.5,43.5,1.8,6,29.2,25.5,35.3,72.3,10,24.5,34.5,18.5,18.3,8.5,3,7.8,23.8,0.3,-8,1998,0
Atlanta Hawks,4,1,3,0.25,48,87.5,32.8,73,44.9,6.8,18,37.5,15.3,22.3,68.5,11,29,40,17,12.8,7.8,4.8,2.8,23.5,0,1.5,1998,0
New Jersey Nets,3,0,3,0,49.7,95,37,78.7,47,2.3,7.3,31.8,18.7,24.7,75.7,12.3,27,39.3,16.7,13.3,7,3.3,4.3,26,0,-7.7,1998,0
Chicago Bulls,19,15,4,0.789,49.3,92.5,34.7,80.2,43.2,6.1,19.2,31.9,17.1,23.2,73.5,14.9,28.6,43.5,20.7,12.4,8.5,4.8,4.2,24.3,8.6,5.5,1997,1
Utah Jazz,20,13,7,0.65,49.9,96.1,33.7,74.5,45.2,5,13.5,36.7,23.8,30.4,78.4,11.4,30.4,41.8,21.8,13.4,7.4,4.9,5.7,24.8,10.9,3.3,1997,0
New York Knicks,10,6,4,0.6,49.8,91.2,34.3,73.5,46.7,5.5,14.8,37.2,17.1,22.2,77,9.7,29.8,39.5,21.1,15.7,8.7,3.5,4.9,23.4,11.5,1.7,1997,0
Houston Rockets,16,9,7,0.563,49.7,101.3,35.3,77.1,45.8,8.9,24.5,36.2,21.8,28.4,76.7,12.3,29.3,41.5,23.1,15.2,7.7,4.4,4.2,21.9,9.8,1.8,1997,0
Seattle SuperSonics,12,6,6,0.5,50.6,105.1,36.8,82.8,44.4,8.3,21.8,38.3,23.3,28.5,81.6,13.9,28.8,42.8,23.4,13.6,10.2,4.1,4.1,23.5,10.4,4.5,1997,0
Miami Heat,17,8,9,0.471,49.6,85.9,29.5,72.1,40.9,8.4,23.8,35.1,18.5,26.8,69.2,11.1,30.2,41.3,17.2,16.2,6.7,5.1,4.4,22.4,9.2,0.2,1997,0
Los Angeles Lakers,9,4,5,0.444,50.7,95.2,32.2,72.1,44.7,4.9,15.2,32.1,25.9,35,74,11.2,27.7,38.9,20.6,13.3,6.8,6.1,5.3,26.6,10.7,1.1,1997,0
Detroit Pistons,5,2,3,0.4,49.9,85.6,32.4,74.8,43.3,5.6,17,32.9,15.2,19.8,76.8,8.6,23.2,31.8,13.6,9.6,7,2.4,4.6,20.2,10.8,-2,1997,0
Orlando Magic,5,2,3,0.4,49.7,84.2,29.8,73,40.8,5.8,18,32.2,18.8,25.2,74.6,9.6,28,37.6,13.2,12.4,6.4,5.2,5.6,19,10,-7.8,1997,0
Phoenix Suns,5,2,3,0.4,50.6,100.2,34.4,82.6,41.6,10.2,29,35.2,21.2,27.8,76.3,10,30.4,40.4,22.8,16.2,8.2,5.2,4.8,22,13.4,-12.6,1997,0
Atlanta Hawks,10,4,6,0.4,49.5,89,30.9,70.8,43.6,6.9,21.9,31.5,20.3,26.1,77.8,11,29,40,15.4,16.1,4.5,4.3,3.5,20,9.9,-2.9,1997,0
Portland Trail Blazers,4,1,3,0.25,50.4,89.8,32.8,73,44.9,4.5,17,26.5,19.8,27.3,72.5,11.8,25.3,37,19.8,15.5,5.5,4.3,5.3,28.8,12.5,-7,1997,0
Washington Bullets,3,0,3,0,50.4,95,34,71.7,47.4,4.3,10.3,41.9,22.7,29,78.2,11.3,24.3,35.7,17,18.7,4.7,6.3,4.3,25.7,16.7,-6,1997,0
Los Angeles Clippers,3,0,3,0,50.9,92.3,32.7,75,43.6,6,18,33.3,21,28.7,73.3,10.3,23,33.3,16.3,12,6.7,4.3,5.3,29,18.3,-12.7,1997,0
Charlotte Hornets,3,0,3,0,50.1,95.7,36.3,80.3,45.2,6.3,17,37.3,16.7,20.7,80.6,12.7,24.3,37,18.3,13.3,6.7,3,3.3,21,12,-8.7,1997,0
Minnesota Timberwolves,3,0,3,0,49.8,99.7,40,88.7,45.1,6.3,16.7,38,13.3,18,74.1,14,24.7,38.7,24,9.3,7.7,4,4,23.3,14,-11.3,1997,0