TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
San Antonio Spurs,20,16,4,0.8,48,95.7,35.3,76.8,45.9,7.6,19.7,38.4,17.6,24.3,72.4,10.5,30.1,40.6,19.9,13.9,7.1,5.5,4.6,20.5,20.8,4
Detroit Pistons,16,10,6,0.625,48.6,91.4,32.7,76,43,5.8,16.6,35,20.2,26.3,76.7,11.8,28.8,40.6,20.1,13.3,7.1,4.7,3.7,23.9,22.3,2.9
Chicago Bulls,10,6,4,0.6,48,92.4,32.5,75.6,43,5.9,16.6,35.5,21.5,29.5,72.9,11.6,30.3,41.9,20.6,15.3,7,4.2,4.4,22.1,25.5,1.1
Cleveland Cavaliers,20,12,8,0.6,48.5,88.8,32.1,76.3,42.1,5.4,16.6,32.6,19.2,26.1,73.7,11.9,31.4,43.3,17.5,13,7.2,3.5,3.8,20.7,21,2.2
Phoenix Suns,11,6,5,0.545,48,104.1,39,81.8,47.7,7.1,18.7,37.9,19,24.4,78,9.2,31.2,40.4,23.4,13.8,6.4,5.2,5.3,19.6,22.5,5
Utah Jazz,17,9,8,0.529,48.3,97.9,36.4,79.4,45.9,4.3,12.6,34.1,20.8,27.7,74.9,13,31.2,44.2,22.2,16,7.4,4.8,5.5,24.6,23.2,0.9
New Jersey Nets,12,6,6,0.5,48,90.2,32.6,73.3,44.4,7.7,20.8,36.8,17.3,23.3,74.3,8.6,31.3,39.8,23,16.1,6.3,2.9,4,21.2,21.4,1.8
Golden State Warriors,11,5,6,0.455,48.5,106.6,36.5,81.2,45,11.1,31,35.8,22.5,30.5,73.5,11.5,26.8,38.3,17.2,14.9,10.3,5.5,4.9,26.6,25.1,1.7
Houston Rockets,7,3,4,0.429,48,87.3,29.7,72.4,41,7.1,22.3,32.1,20.7,26.3,78.8,9.9,31.7,41.6,18.1,14.9,7,4.1,4.9,19.3,22.9,-3.1
Dallas Mavericks,6,2,4,0.333,48,98.5,34.2,80.8,42.3,7,22.2,31.6,23.2,30,77.2,14,30.3,44.3,17.8,16.3,8.3,5,4.3,23.8,24.8,-6.7
Toronto Raptors,6,2,4,0.333,48,90.8,32.5,73.5,44.2,5.3,14.5,36.8,20.5,25.5,80.4,7.3,30.5,37.8,16.2,14.7,7.7,4,3.5,21.3,21.3,-5.3
Denver Nuggets,5,1,4,0.2,48,88.2,33.6,79.4,42.3,4.6,14.4,31.9,16.4,21,78.1,13,30.4,43.4,17.6,15.2,5.6,4.2,5.2,18,17.8,-6
Los Angeles Lakers,5,1,4,0.2,48,98,38,86,44.2,6.4,19.8,32.3,15.6,21.6,72.2,14.2,29.2,43.4,14.4,15.2,5.8,4,4,23,18.6,-10.4
Washington Wizards,4,0,4,0,48,91.5,34.3,83,41.3,6.3,20.5,30.5,16.8,21.8,77,10.3,26.3,36.5,18.8,8.8,5.5,3,3.5,21.3,19,-8.8
Orlando Magic,4,0,4,0,48,88,34.5,72.3,47.8,2.5,7.3,34.5,16.5,28.5,57.9,11.3,29,40.3,18,14.8,4.3,3.5,4.3,24.3,23,-9
Miami Heat,4,0,4,0,48,88.8,33.3,74.8,44.5,5.5,17,32.4,16.8,27.3,61.5,8,28.3,36.3,17.8,14.8,6.3,5.3,4.3,25.3,23.5,-11